policy_number,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship
557218,440865,FEMALE,College,transport-moving,video-games,unmarried
125591,450947,FEMALE,Masters,protective-serv,reading,not-in-family
227244,473370,FEMALE,JD,handlers-cleaners,sleeping,own-child
791425,463153,MALE,High School,protective-serv,reading,not-in-family
354455,612546,FEMALE,JD,craft-repair,yachting,other-relative
601042,442919,MALE,JD,craft-repair,movies,unmarried
433663,449352,MALE,Masters,machine-op-inspct,golf,not-in-family
471938,470104,FEMALE,High School,priv-house-serv,skydiving,other-relative
564654,459889,MALE,Masters,priv-house-serv,sleeping,wife
645723,478868,FEMALE,High School,protective-serv,movies,husband
573572,463307,FEMALE,JD,protective-serv,board-games,husband
437960,453620,FEMALE,Associate,adm-clerical,bungie-jumping,husband
649800,466238,FEMALE,PhD,transport-moving,board-games,unmarried
544225,607697,FEMALE,MD,protective-serv,skydiving,other-relative
390256,477631,FEMALE,High School,craft-repair,cross-fit,own-child
488597,443625,MALE,Masters,handlers-cleaners,camping,other-relative
133889,472223,FEMALE,MD,sales,kayaking,own-child
931901,608328,FEMALE,Associate,protective-serv,base-jumping,own-child
769475,474860,FEMALE,MD,tech-support,paintball,other-relative
844062,606858,MALE,High School,adm-clerical,movies,unmarried
844129,477938,MALE,MD,tech-support,movies,husband
732169,462698,FEMALE,Associate,priv-house-serv,paintball,not-in-family
221854,454552,MALE,College,other-service,exercise,wife
776950,471585,MALE,PhD,tech-support,reading,own-child
291006,455426,FEMALE,JD,transport-moving,video-games,wife
845751,469856,FEMALE,JD,protective-serv,polo,own-child
889764,454191,FEMALE,Associate,craft-repair,board-games,unmarried
929306,468454,MALE,Associate,adm-clerical,board-games,other-relative
515457,614187,FEMALE,High School,craft-repair,golf,unmarried
556270,433974,FEMALE,Masters,farming-fishing,base-jumping,not-in-family
908935,604833,MALE,PhD,handlers-cleaners,camping,unmarried
525862,447469,MALE,College,handlers-cleaners,bungie-jumping,unmarried
490514,451529,MALE,High School,exec-managerial,cross-fit,other-relative
774895,431202,FEMALE,JD,adm-clerical,hiking,unmarried
974522,448190,MALE,MD,other-service,cross-fit,husband
669809,453713,MALE,High School,other-service,base-jumping,wife
182953,440153,MALE,College,handlers-cleaners,kayaking,not-in-family
836349,619570,MALE,JD,craft-repair,yachting,other-relative
591269,478947,FEMALE,High School,armed-forces,dancing,wife
550127,443550,FEMALE,High School,exec-managerial,movies,husband
663190,477644,FEMALE,MD,prof-specialty,movies,unmarried
109392,433981,MALE,MD,other-service,basketball,other-relative
215278,433696,MALE,MD,exec-managerial,camping,husband
674570,443567,MALE,MD,exec-managerial,camping,husband
681486,430665,MALE,High School,sales,bungie-jumping,own-child
941851,431289,FEMALE,Masters,craft-repair,paintball,unmarried
186934,608177,FEMALE,PhD,prof-specialty,sleeping,wife
918516,442797,FEMALE,Masters,armed-forces,bungie-jumping,other-relative
533940,441714,MALE,Associate,handlers-cleaners,base-jumping,wife
556080,612260,FEMALE,Associate,sales,kayaking,husband
